"No.","Time","Source","Destination","Protocol","Length","SAC, System Area Code","SIC, System Identification Code","Service Identification","LAT, Latitude, [\302\260]","LON, Longitude, [\302\260]","Target Address","Time of Message Reception for Position, [s]","Geometric Height, [ft]","NUCRNACV, Navigation Uncertainty Category for Velocity NUCr or the Navigation Accuracy Category for Velocity NACv","NUCPNIC, Navigation Uncertainty Category for Position NUCp or Navigation Integrity Category NIC","NICBARO, Navigation Integrity Category for Barometric Altitude","SIL, Surveillance (version 1) or Source (version 2) Integrity Level","NACP, Navigation Accuracy Category for Position","SILS, SIL-Supplement","SDA, Horizontal Position System Design Assurance Level (as Defined in Version 2)","GVA, Geometric Altitude Accuracy","PIC, Position Integrity Category","SRC, Source of the PIC","VN, Version Number","LTT, Link Technology Type","MODE3A, Mode-3/A Reply in Octal Representation","Flight Level, [FL]","BVR, Barometric Vertical Rate, [ft/min]","Target Identification","GS, Ground Speed Referenced to WGS-84, [NM/s]","TA, Track Angle Clockwise Reference to True North, [\302\260]","Emitter Category","ALT, Altitude, [ft]","Message Amplitude, [dBm]","Info"
"1","/","10.41.201.3","224.41.192.32","ASTERIX","121","0x84","0x33","0x0a","6.53961181640625","99.61468935012817","0x76b44b","19137.3359375","29975","2","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","3190","282","1281.25","SIA727  ","0.13580322265625","149.91943359375","75000 lbs < medium a/c < 300000 lbs","33000","-72",""
"2","2025-10-15 05:28:13.136901Z","10.41.201.3","224.41.192.32","ASTERIX","121","0x84","0x33","0x0a","8.960981369018555","100.74917793273926","0x76b448","19137.421875","39300","2","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","3853","370","0","SIA761  ","0.1265869140625","153.83056640625","75000 lbs < medium a/c < 300000 lbs","37000","-79",""
"3","2025-10-15 05:28:13.230937Z","10.41.201.3","224.41.192.32","ASTERIX","119","0x84","0x33","0x0a","4.827225208282471","103.02088022232056","0x88510e","19137.515625","40375","2","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","","380","0","THA404  ","0.13421630859375","332.1112060546875","300000 lbs <= heavy aircraft","38025","-88",""
"4","2025-10-15 05:28:13.236048Z","10.41.201.3","224.41.192.32","ASTERIX","119","0x84","0x33","0x0a","7.298076152801514","100.60172080993652","0x885972","19137.515625","8175","1","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","2372","78.5","-2112.5","TVJ324  ","0.09564208984375","182.3291015625","75000 lbs < medium a/c < 300000 lbs","3000","-63",""
"5","2025-10-15 05:28:13.426574Z","10.41.201.3","224.41.192.32","ASTERIX","121","0x84","0x33","0x0a","5.204064846038818","102.88232803344727","0x780457","19137.7109375","36200","1","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","1198","340","0","CES5082 ","0.128173828125","329.3756103515625","75000 lbs < medium a/c < 300000 lbs","34025","-81",""
"6","2025-10-15 05:28:13.672246Z","10.41.201.3","224.41.192.32","ASTERIX","110","0x84","0x33","0x0a","7.692296504974365","101.72198295593262","0x885306","19137.9609375","39425","0","7","0","0","0","Measured per flight-hour","0","0","11","PIC mapped from FTC and NIC Supplements","ED102/DO-260 [Ref. 7]","1090 ES","","370","","THA413  ","0.1292724609375","166.201171875","No ADS-B Emitter Category Information","","-71",""
"7","2025-10-15 05:28:13.856348Z","10.41.201.3","224.41.192.32","ASTERIX","121","0x84","0x33","0x0a","6.585273742675781","102.18838691711426","0x50038e","19138.1328125","45400","1","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","1319","430","","T7NEX   ","0.13311767578125","343.7567138671875","75000 lbs < medium a/c < 300000 lbs","43000","-75",""
"8","2025-10-15 05:28:13.943854Z","10.41.201.3","224.41.192.32","ASTERIX","121","0x84","0x33","0x0a","4.668588638305664","99.91629838943481","0x8a0817","19138.2265625","14200","1","8","1","3","8","Measured per flight-hour","2","1","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","3556","135.5","-962.5","LNI138  ","0.09228515625","39.869384765625","75000 lbs < medium a/c < 300000 lbs","7000","-84",""
"9","2025-10-15 05:28:14.098587Z","10.41.201.3","224.41.192.32","ASTERIX","119","0x84","0x33","0x0a","9.118459224700928","99.37468528747559","0x789292","19138.3828125","29975","2","8","1","3","9","Measured per flight-hour","3","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","3176","281.75","381.25","CPA770  ","0.12347412109375","2.83447265625","75000 lbs < medium a/c < 300000 lbs","35000","-80",""
"10","2025-10-15 05:28:14.199129Z","10.41.201.3","224.41.192.32","ASTERIX","110","0x84","0x33","0x0a","9.438371658325195","101.41123294830322","0x8830e9","19138.484375","37300","0","7","0","0","0","Measured per flight-hour","0","0","11","PIC mapped from FTC and NIC Supplements","ED102/DO-260 [Ref. 7]","1090 ES","","350.25","","TLM268  ","0.1285400390625","173.7982177734375","No ADS-B Emitter Category Information","","-83",""
"11","2025-10-15 05:28:14.204187Z","10.41.201.3","224.41.192.32","ASTERIX","97","0x84","0x33","0x0a","6.936342716217041","100.39525508880615","0xadf025","19138.484375","","0","8","0","0","11","Measured per flight-hour","0","0","11","PIC mapped from FTC and NIC Supplements","DO-260A [Ref. 8]","1090 ES","","","","SITEMON ","","","Surface service vehicle","","-34",""
"12","2025-10-15 05:28:14.277520Z","10.41.201.3","224.41.192.32","ASTERIX","110","0x84","0x33","0x0a","5.586826801300049","102.12592363357544","0x7500e4","19138.5625","22050","0","6","0","0","0","Measured per flight-hour","0","0","10","PIC mapped from FTC and NIC Supplements","ED102/DO-260 [Ref. 7]","1090 ES","","208.25","","AXM6991 ","0.11383056640625","220.8416748046875","No ADS-B Emitter Category Information","","-76",""
"13","2025-10-15 05:28:14.287750Z","10.41.201.3","224.41.192.32","ASTERIX","110","0x84","0x33","0x0a","6.937587261199951","100.49089193344116","0x880458","19138.5703125","30950","0","7","0","0","0","Measured per flight-hour","0","0","11","PIC mapped from FTC and NIC Supplements","ED102/DO-260 [Ref. 7]","1090 ES","","289.5","","AIQ323  ","0.12310791015625","175.858154296875","No ADS-B Emitter Category Information","","-69",""
"14","2025-10-15 05:28:14.426094Z","10.41.201.3","224.41.192.32","ASTERIX","110","0x84","0x33","0x0a","9.986164569854736","100.61860799789429","0x7502b0","19138.7109375","37225","0","7","0","0","0","Measured per flight-hour","0","0","11","PIC mapped from FTC and NIC Supplements","ED102/DO-260 [Ref. 7]","1090 ES","","350","","MAS785  ","0.13348388671875","182.5048828125","No ADS-B Emitter Category Information","","-84",""
"15","2025-10-15 05:28:14.476715Z","10.41.201.3","224.41.192.32","ASTERIX","120","0x84","0x33","0x0a","9.466073513031006","100.61562538146973","0x7020b2","19138.765625","39325","1","0","1","3","0","Measured per flight-hour","2","1","","","ED102A/DO-260B [Ref. 10]","1090 ES","2509","370","0","UBG315  ","0.12896728515625","152.8253173828125","75000 lbs < medium a/c < 300000 lbs","37000","-84",""
"16","2025-10-15 05:28:14.788081Z","10.41.201.3","224.41.192.32","ASTERIX","121","0x84","0x33","0x0a","10.217328071594238","101.52360677719116","0x899115","19139.0703125","38275","2","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","1428","360","62.5","CAL731  ","0.1337890625","243.489990234375","75000 lbs < medium a/c < 300000 lbs","36000","-83",""
"17","2025-10-15 05:28:14.829017Z","10.41.201.3","224.41.192.32","ASTERIX","117","0x84","0x33","0x0a","8.392095565795898","100.52513837814331","0x8880e8","19139.109375","33000","2","8","1","2","8","Measured per flight-hour","0","0","11","PIC mapped from FTC and NIC Supplements","DO-260A [Ref. 8]","1090 ES","510","309.75","","VJC808  ","0.1258544921875","35.4803466796875","75000 lbs < medium a/c < 300000 lbs","31000","-83",""
"18","2025-10-15 05:28:14.854654Z","10.41.201.3","224.41.192.32","ASTERIX","121","0x84","0x33","0x0a","8.693211078643799","101.33949995040894","0x781dd7","19139.140625","37250","1","8","1","3","8","Measured per flight-hour","3","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","855","350","0","CCA403  ","0.1297607421875","195.523681640625","75000 lbs < medium a/c < 300000 lbs","35000","-78",""
"19","2025-10-15 05:28:15.067582Z","10.41.201.3","224.41.192.32","ASTERIX","110","0x84","0x33","0x0a","5.405981540679932","102.80626058578491","0x75021d","19139.3515625","38300","0","7","0","0","0","Measured per flight-hour","0","0","11","PIC mapped from FTC and NIC Supplements","ED102/DO-260 [Ref. 7]","1090 ES","","360","","MAS755  ","0.130126953125","208.4271240234375","No ADS-B Emitter Category Information","","-78",""
"20","2025-10-15 05:28:15.176827Z","10.41.201.3","224.41.192.32","ASTERIX","119","0x84","0x33","0x0a","7.114977836608887","102.2338342666626","0x8a091f","19139.4609375","36200","1","8","1","3","9","Measured per flight-hour","3","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","3667","340","0","BTK7631 ","0.1270751953125","354.100341796875","75000 lbs < medium a/c < 300000 lbs","34025","-77",""
"21","2025-10-15 05:28:15.361197Z","10.41.201.3","224.41.192.32","ASTERIX","120","0x84","0x33","0x0a","8.320727348327637","100.97268104553223","0x76d101","19139.6484375","29075","4","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","3197","274","1537.5","TGW643  ","0.118408203125","151.8695068359375","75000 lbs < medium a/c < 300000 lbs","29025","-76",""
"22","2025-10-15 05:28:15.453791Z","10.41.201.3","224.41.192.32","ASTERIX","120","0x84","0x33","0x0a","7.3194050788879395","100.93536615371704","0x8855ed","19139.734375","5275","2","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","498","51.75","62.5","HSUOM   ","0.03948974609375","69.3951416015625","Rotocraft","5025","-73",""
"23","2025-10-15 05:28:15.488438Z","10.41.201.3","224.41.192.32","ASTERIX","118","0x84","0x33","0x0a","10.441324710845947","101.67428255081177","0x880852","19139.7734375","36175","2","8","1","2","8","Measured per flight-hour","0","0","11","PIC mapped from FTC and NIC Supplements","DO-260A [Ref. 8]","1090 ES","1170","340","","AIQ513  ","0.12371826171875","337.005615234375","75000 lbs < medium a/c < 300000 lbs","34000","-82",""
"24","2025-10-15 05:28:15.498774Z","10.41.201.3","224.41.192.32","ASTERIX","119","0x84","0x33","0x0a","10.007193088531494","99.34202671051025","0x880c4b","19139.78125","40375","1","8","1","3","8","Measured per flight-hour","3","1","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","2186","380","0","AIQ3225 ","0.132080078125","193.128662109375","75000 lbs < medium a/c < 300000 lbs","38025","-85",""
"25","2025-10-15 05:28:15.688578Z","10.41.201.3","224.41.192.32","ASTERIX","103","0x84","0x33","0x0a","8.328988552093506","99.00973320007324","0x880452","19139.96875","20400","0","6","0","0","0","Measured per flight-hour","0","0","10","PIC mapped from FTC and NIC Supplements","ED102/DO-260 [Ref. 7]","1090 ES","","192.75","","","0.1053466796875","69.796142578125","","","-86",""
"26","2025-10-15 05:28:15.801083Z","10.41.201.3","224.41.192.32","ASTERIX","110","0x84","0x33","0x0a","9.08095121383667","99.00930404663086","0x885301","19140.0859375","20800","0","7","0","0","0","Measured per flight-hour","0","0","11","PIC mapped from FTC and NIC Supplements","ED102/DO-260 [Ref. 7]","1090 ES","","195.5","","THA207  ","0.11517333984375","206.8121337890625","No ADS-B Emitter Category Information","","-79",""
"27","2025-10-15 05:28:15.899685Z","10.41.201.3","224.41.192.32","ASTERIX","110","0x84","0x33","0x0a","9.174034595489502","101.36157989501953","0x88044d","19140.1796875","32600","0","6","0","0","0","Measured per flight-hour","0","0","10","PIC mapped from FTC and NIC Supplements","ED102/DO-260 [Ref. 7]","1090 ES","","305","","AIQ4252 ","0.1229248046875","171.815185546875","No ADS-B Emitter Category Information","","-79",""
"28","2025-10-15 05:28:15.915245Z","10.41.201.3","224.41.192.32","ASTERIX","110","0x84","0x33","0x0a","6.572098731994629","102.26846694946289","0x8832ba","19140.203125","40425","0","7","0","0","0","Measured per flight-hour","0","0","11","PIC mapped from FTC and NIC Supplements","ED102/DO-260 [Ref. 7]","1090 ES","","380","","TLM101  ","0.124755859375","354.5068359375","No ADS-B Emitter Category Information","","-81",""
"29","2025-10-15 05:28:15.991960Z","10.41.201.3","224.41.192.32","ASTERIX","121","0x84","0x33","0x0a","8.597359657287598","100.36452770233154","0x75053f","19140.2734375","40325","2","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","1124","380","0","MAS788  ","0.1239013671875","1.285400390625","75000 lbs < medium a/c < 300000 lbs","38025","-87",""
"30","2025-10-15 05:28:16.091486Z","10.41.201.3","224.41.192.32","ASTERIX","119","0x84","0x33","0x0a","8.18530797958374","101.53819799423218","0x76b863","19140.3828125","35175","4","8","1","3","9","Measured per flight-hour","3","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","3168","330","0","TGW625  ","0.1336669921875","169.4586181640625","75000 lbs < medium a/c < 300000 lbs","33000","-79",""
"31","2025-10-15 05:28:16.305106Z","10.41.201.3","224.41.192.32","ASTERIX","110","0x84","0x33","0x0a","9.997150897979736","101.92192554473877","0x8a021d","19140.59375","40400","0","7","0","0","0","Measured per flight-hour","0","0","11","PIC mapped from FTC and NIC Supplements","ED102/DO-260 [Ref. 7]","1090 ES","","380","","GIA866  ","0.12493896484375","342.1307373046875","No ADS-B Emitter Category Information","","-83",""
"32","2025-10-15 05:28:16.386006Z","10.41.201.3","224.41.192.32","ASTERIX","119","0x84","0x33","0x0a","7.571210861206055","98.88987064361572","0x8015c1","19140.6640625","36175","1","8","1","3","9","Measured per flight-hour","3","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","2128","340","0","AIC2146 ","0.12835693359375","313.1597900390625","75000 lbs < medium a/c < 300000 lbs","34025","-74",""
"33","2025-10-15 05:28:16.563258Z","10.41.201.3","224.41.192.32","ASTERIX","121","0x84","0x33","0x0a","7.031850814819336","100.34330606460571","0x7502d9","19140.8515625","36200","1","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","1104","340","0","MXD164  ","0.1260986328125","359.6209716796875","75000 lbs < medium a/c < 300000 lbs","34025","-72",""
"34","2025-10-15 05:28:16.657148Z","10.41.201.3","224.41.192.32","ASTERIX","121","0x84","0x33","0x0a","6.382262706756592","102.01672554016113","0x702034","19140.9375","39300","2","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","2505","370","0","BBC584  ","0.1314697265625","154.7369384765625","75000 lbs < medium a/c < 300000 lbs","37000","-78",""
"35","2025-10-15 05:28:16.724012Z","10.41.201.3","224.41.192.32","ASTERIX","99","0x84","0x33","0x0a","6.935741901397705","100.39364576339722","0x880c4c","19141.0078125","","0","7","0","0","0","Measured per flight-hour","0","0","11","PIC mapped from FTC and NIC Supplements","ED102/DO-260 [Ref. 7]","1090 ES","","","","AIQ308  ","","","No ADS-B Emitter Category Information","","-38",""
"36","2025-10-15 05:28:16.765039Z","10.41.201.3","224.41.192.32","ASTERIX","119","0x84","0x33","0x0a","7.683627605438232","100.34394979476929","0x704009","19141.046875","38200","1","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","1123","360","0","MMA502  ","0.12420654296875","1.2799072265625","75000 lbs < medium a/c < 300000 lbs","36000","-69",""
"37","2025-10-15 05:28:17.067011Z","10.41.201.3","224.41.192.32","ASTERIX","121","0x84","0x33","0x0a","6.531736850738525","99.61928129196167","0x76b44b","19141.3515625","30050","2","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","3190","282.75","1150","SIA727  ","0.13580322265625","149.91943359375","75000 lbs < medium a/c < 300000 lbs","33000","-72",""
"38","2025-10-15 05:28:17.165235Z","10.41.201.3","224.41.192.32","ASTERIX","121","0x84","0x33","0x0a","4.8349928855896","103.01676034927368","0x88510e","19141.453125","40375","2","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","1213","380","0","THA404  ","0.13397216796875","332.05078125","300000 lbs <= heavy aircraft","38025","-86",""
"39","2025-10-15 05:28:17.221823Z","10.41.201.3","224.41.192.32","ASTERIX","121","0x84","0x33","0x0a","8.953149318695068","100.75301885604858","0x76b448","19141.5","39300","2","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","3853","370","0","SIA761  ","0.1265869140625","153.83056640625","75000 lbs < medium a/c < 300000 lbs","37000","-82",""
"40","2025-10-15 05:28:17.308442Z","10.41.201.3","224.41.192.32","ASTERIX","121","0x84","0x33","0x0a","5.2112531661987305","102.87805795669556","0x780457","19141.59375","36200","1","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","1198","340","0","CES5082 ","0.128173828125","329.3756103515625","75000 lbs < medium a/c < 300000 lbs","34025","-79",""
"41","2025-10-15 05:28:17.355713Z","10.41.201.3","224.41.192.32","ASTERIX","119","0x84","0x33","0x0a","7.2914886474609375","100.60144186019897","0x885972","19141.640625","8050","1","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","2372","77","-2050","TVJ324  ","0.0953369140625","182.3345947265625","75000 lbs < medium a/c < 300000 lbs","3000","-63",""
"42","2025-10-15 05:28:17.597133Z","10.41.201.3","224.41.192.32","ASTERIX","110","0x84","0x33","0x0a","7.686009407043457","101.72354936599731","0x885306","19141.875","39425","0","7","0","0","0","Measured per flight-hour","0","0","11","PIC mapped from FTC and NIC Supplements","ED102/DO-260 [Ref. 7]","1090 ES","","370","","THA413  ","0.1292724609375","166.201171875","No ADS-B Emitter Category Information","","-72",""
"43","2025-10-15 05:28:17.816501Z","10.41.201.3","224.41.192.32","ASTERIX","121","0x84","0x33","0x0a","6.593835353851318","102.18587636947632","0x50038e","19142.09375","45400","1","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","1319","430","","T7NEX   ","0.1328125","343.7237548828125","75000 lbs < medium a/c < 300000 lbs","43000","-75",""
"44","2025-10-15 05:28:17.898455Z","10.41.201.3","224.41.192.32","ASTERIX","119","0x84","0x33","0x0a","9.12639856338501","99.37511444091797","0x789292","19142.1796875","30000","2","8","1","3","9","Measured per flight-hour","3","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","3176","282","381.25","CPA770  ","0.123779296875","2.8289794921875","75000 lbs < medium a/c < 300000 lbs","35000","-83",""
"45","2025-10-15 05:28:18.193030Z","10.41.201.3","224.41.192.32","ASTERIX","121","0x84","0x33","0x0a","4.673631191253662","99.92046117782593","0x8a0817","19142.4765625","14150","1","8","1","3","8","Measured per flight-hour","2","1","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","3556","134.75","-962.5","LNI138  ","0.092529296875","39.759521484375","75000 lbs < medium a/c < 300000 lbs","7000","-83",""
"46","2025-10-15 05:28:18.223767Z","10.41.201.3","224.41.192.32","ASTERIX","120","0x84","0x33","0x0a","9.458820819854736","100.6194019317627","0x7020b2","19142.5078125","39325","1","0","1","3","0","Measured per flight-hour","2","1","","","ED102A/DO-260B [Ref. 10]","1090 ES","2509","370","-62.5","UBG315  ","0.12872314453125","152.7703857421875","75000 lbs < medium a/c < 300000 lbs","37000","-83",""
"47","2025-10-15 05:28:18.280920Z","10.41.201.3","224.41.192.32","ASTERIX","110","0x84","0x33","0x0a","6.9293904304504395","100.49147129058838","0x880458","19142.5625","30800","0","7","0","0","0","Measured per flight-hour","0","0","11","PIC mapped from FTC and NIC Supplements","ED102/DO-260 [Ref. 7]","1090 ES","","288","","AIQ323  ","0.122802734375","175.97900390625","No ADS-B Emitter Category Information","","-68",""
"48","2025-10-15 05:28:18.365405Z","10.41.201.3","224.41.192.32","ASTERIX","110","0x84","0x33","0x0a","5.580925941467285","102.12081670761108","0x7500e4","19142.65625","22150","0","6","0","0","0","Measured per flight-hour","0","0","10","PIC mapped from FTC and NIC Supplements","ED102/DO-260 [Ref. 7]","1090 ES","","209.25","","AXM6991 ","0.1143798828125","220.9625244140625","No ADS-B Emitter Category Information","","-76",""
"49","2025-10-15 05:28:18.388483Z","10.41.201.3","224.41.192.32","ASTERIX","110","0x84","0x33","0x0a","9.429380893707275","101.41224145889282","0x8830e9","19142.671875","37300","0","7","0","0","0","Measured per flight-hour","0","0","11","PIC mapped from FTC and NIC Supplements","ED102/DO-260 [Ref. 7]","1090 ES","","350.25","","TLM268  ","0.1287841796875","173.8092041015625","No ADS-B Emitter Category Information","","-85",""
"50","2025-10-15 05:28:18.562959Z","10.41.201.3","224.41.192.32","ASTERIX","110","0x84","0x33","0x0a","9.976787567138672","100.61820030212402","0x7502b0","19142.8515625","37225","0","7","0","0","0","Measured per flight-hour","0","0","11","PIC mapped from FTC and NIC Supplements","ED102/DO-260 [Ref. 7]","1090 ES","","350","","MAS785  ","0.13348388671875","182.5048828125","No ADS-B Emitter Category Information","","-87",""
"51","2025-10-15 05:28:18.774453Z","10.41.201.3","224.41.192.32","ASTERIX","121","0x84","0x33","0x0a","8.685014247894287","101.3372254371643","0x781dd7","19143.0625","37250","1","8","1","3","8","Measured per flight-hour","3","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","855","350","0","CCA403  ","0.1297607421875","195.523681640625","75000 lbs < medium a/c < 300000 lbs","35000","-79",""
"52","2025-10-15 05:28:18.791824Z","10.41.201.3","224.41.192.32","ASTERIX","121","0x84","0x33","0x0a","10.213336944580078","101.51556015014648","0x899115","19143.0703125","38275","2","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","1428","360","62.5","CAL731  ","0.133544921875","243.43505859375","75000 lbs < medium a/c < 300000 lbs","36000","-80",""
"53","2025-10-15 05:28:19.018518Z","10.41.201.3","224.41.192.32","ASTERIX","118","0x84","0x33","0x0a","8.399369716644287","100.53007364273071","0x8880e8","19143.3046875","33025","2","8","1","2","8","Measured per flight-hour","0","0","11","PIC mapped from FTC and NIC Supplements","DO-260A [Ref. 8]","1090 ES","510","310","","VJC808  ","0.1251220703125","34.3267822265625","75000 lbs < medium a/c < 300000 lbs","31000","-79",""
"54","2025-10-15 05:28:19.128739Z","10.41.201.3","224.41.192.32","ASTERIX","110","0x84","0x33","0x0a","5.398342609405518","102.80214071273804","0x75021d","19143.4140625","38300","0","7","0","0","0","Measured per flight-hour","0","0","11","PIC mapped from FTC and NIC Supplements","ED102/DO-260 [Ref. 7]","1090 ES","","360","","MAS755  ","0.130126953125","208.4271240234375","No ADS-B Emitter Category Information","","-80",""
"55","2025-10-15 05:28:19.159625Z","10.41.201.3","224.41.192.32","ASTERIX","119","0x84","0x33","0x0a","7.123367786407471","102.23299741744995","0x8a091f","19143.4453125","36200","1","8","1","3","9","Measured per flight-hour","3","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","3667","340","0","BTK7631 ","0.1273193359375","354.1168212890625","75000 lbs < medium a/c < 300000 lbs","34025","-77",""
"56","2025-10-15 05:28:19.303212Z","10.41.201.3","224.41.192.32","ASTERIX","120","0x84","0x33","0x0a","7.3203277587890625","100.93768358230591","0x8855ed","19143.5859375","5275","2","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","498","51.75","0","HSUOM   ","0.03948974609375","68.126220703125","Rotocraft","5025","-74",""
"57","2025-10-15 05:28:19.364597Z","10.41.201.3","224.41.192.32","ASTERIX","97","0x84","0x33","0x0a","6.936342716217041","100.39525508880615","0xadf025","19143.6484375","","0","8","0","0","11","Measured per flight-hour","0","0","11","PIC mapped from FTC and NIC Supplements","DO-260A [Ref. 8]","1090 ES","","","","SITEMON ","","","Surface service vehicle","","-34",""
"58","2025-10-15 05:28:19.369880Z","10.41.201.3","224.41.192.32","ASTERIX","118","0x84","0x33","0x0a","10.448684692382812","101.67110681533813","0x880852","19143.6484375","36175","2","8","1","2","8","Measured per flight-hour","0","0","11","PIC mapped from FTC and NIC Supplements","DO-260A [Ref. 8]","1090 ES","1170","340","","AIQ513  ","0.12298583984375","337.1429443359375","75000 lbs < medium a/c < 300000 lbs","34000","-83",""
"59","2025-10-15 05:28:19.536377Z","10.41.201.3","224.41.192.32","ASTERIX","120","0x84","0x33","0x0a","8.31338882446289","100.97662925720215","0x76d101","19143.8125","29175","4","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","3197","275","1281.25","TGW643  ","0.11859130859375","151.754150390625","75000 lbs < medium a/c < 300000 lbs","29025","-76",""
"60","2025-10-15 05:28:19.789182Z","10.41.201.3","224.41.192.32","ASTERIX","103","0x84","0x33","0x0a","8.331499099731445","99.01659965515137","0x880452","19144.0703125","20525","0","6","0","0","0","Measured per flight-hour","0","0","10","PIC mapped from FTC and NIC Supplements","ED102/DO-260 [Ref. 7]","1090 ES","","193.75","","","0.1053466796875","69.796142578125","","","-88",""
"61","2025-10-15 05:28:19.804627Z","10.41.201.3","224.41.192.32","ASTERIX","119","0x84","0x33","0x0a","9.997987747192383","99.3398380279541","0x880c4b","19144.0859375","40375","1","8","1","3","8","Measured per flight-hour","3","1","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","2186","380","62.5","AIQ3225 ","0.132080078125","193.128662109375","75000 lbs < medium a/c < 300000 lbs","38025","-83",""
"62","2025-10-15 05:28:19.808300Z","10.41.201.3","224.41.192.32","ASTERIX","121","0x84","0x33","0x0a","8.605191707611084","100.3646993637085","0x75053f","19144.09375","40325","2","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","1124","380","0","MAS788  ","0.1239013671875","1.285400390625","75000 lbs < medium a/c < 300000 lbs","38025","-87",""
"63","2025-10-15 05:28:19.878695Z","10.41.201.3","224.41.192.32","ASTERIX","110","0x84","0x33","0x0a","6.580381393432617","102.26765155792236","0x8832ba","19144.1640625","40425","0","7","0","0","0","Measured per flight-hour","0","0","11","PIC mapped from FTC and NIC Supplements","ED102/DO-260 [Ref. 7]","1090 ES","","380","","TLM101  ","0.124755859375","354.3804931640625","No ADS-B Emitter Category Information","","-80",""
