"No.","Time","Source","Destination","Protocol","Length","SAC, System Area Code","SIC, System Identification Code","Service Identification","LAT, Latitude, [\302\260]","LON, Longitude, [\302\260]","Target Address","Time of Message Reception for Position, [s]","Geometric Height, [ft]","NUCRNACV, Navigation Uncertainty Category for Velocity NUCr or the Navigation Accuracy Category for Velocity NACv","NUCPNIC, Navigation Uncertainty Category for Position NUCp or Navigation Integrity Category NIC","NICBARO, Navigation Integrity Category for Barometric Altitude","SIL, Surveillance (version 1) or Source (version 2) Integrity Level","NACP, Navigation Accuracy Category for Position","SILS, SIL-Supplement","SDA, Horizontal Position System Design Assurance Level (as Defined in Version 2)","GVA, Geometric Altitude Accuracy","PIC, Position Integrity Category","SRC, Source of the PIC","VN, Version Number","LTT, Link Technology Type","MODE3A, Mode-3/A Reply in Octal Representation","Flight Level, [FL]","BVR, Barometric Vertical Rate, [ft/min]","Target Identification","GS, Ground Speed Referenced to WGS-84, [NM/s]","TA, Track Angle Clockwise Reference to True North, [\302\260]","Emitter Category","ALT, Altitude, [ft]","Message Amplitude, [dBm]","Info"
"870","2025-10-15 05:29:49.422577Z","10.41.201.3","224.41.192.32","ASTERIX","121","0x84","0x33","0x0a","5.018370151519775","102.91987895965576","0x88510e","19233.7109375","40375","2","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","1213","380","0","THA404  ","0.13543701171875","332.1221923828125","300000 lbs <= heavy aircraft","38025","-86",""
"871","2025-10-15 05:29:49.437956Z","10.41.201.3","224.41.192.32","ASTERIX","121","0x84","0x33","0x0a","6.193971633911133","102.09618330001831","0x702034","19233.7265625","39325","2","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","2505","370","-62.5","BBC584  ","0.1322021484375","161.7572021484375","75000 lbs < medium a/c < 300000 lbs","37000","-75",""
"872","2025-10-15 05:29:49.469575Z","10.41.201.3","224.41.192.32","ASTERIX","110","0x84","0x33","0x0a","10.000219345092773","100.60004711151123","0x8832b0","19233.7578125","35075","0","7","0","0","0","Measured per flight-hour","0","0","11","PIC mapped from FTC and NIC Supplements","ED102/DO-260 [Ref. 7]","1090 ES","","330","","TLM708  ","0.13250732421875","181.318359375","No ADS-B Emitter Category Information","","-80",""
"873","2025-10-15 05:29:49.579827Z","10.41.201.3","224.41.192.32","ASTERIX","110","0x84","0x33","0x0a","7.491602897644043","101.77161455154419","0x885306","19233.8671875","39425","0","7","0","0","0","Measured per flight-hour","0","0","11","PIC mapped from FTC and NIC Supplements","ED102/DO-260 [Ref. 7]","1090 ES","","370","","THA413  ","0.12908935546875","166.0528564453125","No ADS-B Emitter Category Information","","-82",""
"874","2025-10-15 05:29:49.626004Z","10.41.201.3","224.41.192.32","ASTERIX","119","0x84","0x33","0x0a","7.157442569732666","100.59592723846436","0x885972","19233.9140625","6575","1","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","2372","63.5","-1150","TVJ324  ","0.078125","182.2412109375","75000 lbs < medium a/c < 300000 lbs","3000","-63",""
"875","2025-10-15 05:29:49.678309Z","10.41.201.3","224.41.192.32","ASTERIX","121","0x84","0x33","0x0a","6.789121627807617","102.12905645370483","0x50038e","19233.96875","45400","1","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","1319","430","","T7NEX   ","0.1319580078125","343.740234375","75000 lbs < medium a/c < 300000 lbs","43000","-74",""
"876","2025-10-15 05:29:49.693721Z","10.41.201.3","224.41.192.32","ASTERIX","110","0x84","0x33","0x0a","8.923280239105225","98.92909526824951","0x885301","19233.984375","17100","0","7","0","0","0","Measured per flight-hour","0","0","11","PIC mapped from FTC and NIC Supplements","ED102/DO-260 [Ref. 7]","1090 ES","","160.75","","THA207  ","0.10955810546875","206.8231201171875","No ADS-B Emitter Category Information","","-87",""
"877","2025-10-15 05:29:49.709187Z","10.41.201.3","224.41.192.32","ASTERIX","110","0x84","0x33","0x0a","8.984026908874512","101.38932466506958","0x88044d","19234","31375","0","6","0","0","0","Measured per flight-hour","0","0","10","PIC mapped from FTC and NIC Supplements","ED102/DO-260 [Ref. 7]","1090 ES","","294","","AIQ4252 ","0.1212158203125","171.8316650390625","No ADS-B Emitter Category Information","","-75",""
"878","2025-10-15 05:29:49.836745Z","10.41.201.3","224.41.192.32","ASTERIX","110","0x84","0x33","0x0a","6.744017601013184","100.48904657363892","0x880458","19234.125","26625","0","7","0","0","0","Measured per flight-hour","0","0","11","PIC mapped from FTC and NIC Supplements","ED102/DO-260 [Ref. 7]","1090 ES","","249","","AIQ323  ","0.120361328125","188.89892578125","No ADS-B Emitter Category Information","","-64",""
"879","2025-10-15 05:29:49.921340Z","10.41.201.3","224.41.192.32","ASTERIX","119","0x84","0x33","0x0a","9.803345203399658","99.2938756942749","0x880c4b","19234.203125","40425","1","8","1","3","8","Measured per flight-hour","3","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","2186","380.5","0","AIQ3225 ","0.13330078125","193.2550048828125","75000 lbs < medium a/c < 300000 lbs","26025","-87",""
